ticker,Name,Market,symbol
ALR.BX,ALRO S.A.,BVB Premium,ALR
ATB.BX,ANTIBIOTICE S.A.,BVB Premium,ATB
ROAQ.BX,AQUILA PART PROD COM,BVB Premium,AQ
ROTLV.BX,BANCA TRANSILVANIA S.A.,BVB Premium,TLV
ROBIO.BX,BIOFARM S.A.,BVB Premium,BIO
ROBRD.BX,BRD - GROUPE SOCIETE GENERALE S.A.,BVB Premium,BRD
ROBVB.BX,BURSA DE VALORI BUCURESTI SA,BVB Premium,BVB
ROTEL.BX,C.N.T.E.E. TRANSELECTRICA,BVB Premium,TEL
COTE.BX,CONPET SA,BVB Premium,COTE
IMP.BX,IMPACT DEVELOPER & CONTRACTOR S.A.,BVB Premium,IMP
ROM.BX,MedLife S.A.,BVB Premium,M
ROSNP.BX,OMV PETROM S.A.,BVB Premium,SNP
ROONE.BX,ONE UNITED PROPERTIES,BVB Premium,ONE
PBK.BX,PATRIA BANK S.A.,BVB Premium,PBK
ROSNN.BX,SOCIETATEA ENERGETICA ELECTRICA S.A.,BVB Premium,EL
SNG.BX,S.N.G.N. ROMGAZ S.A.,BVB Premium,SNG
TGN.BX,S.N.T.G.N. TRANSGAZ S.A.,BVB Premium,TGN
ROEL.BX,S.N. NUCLEARELECTRICA S.A.,BVB Premium,SNN
ROSFG.BX,Sphera Franchise Group,BVB Premium,SFG
ROBRK.BX,SSIF BRK FINANCIAL GROUP SA,BVB Premium,BRK
TTS.BX,TTS (TRANSPORT TRADE SERVICES),BVB Premium,TTS
SIF2.BX,EVERGENT INVESTMENTS S.A.,BVB  Financial Investments Funds (SIF),EVER
FP.BX,FONDUL PROPRIETATEA,BVB  Financial Investments Funds (SIF),FP
SIF1.BX,SIF BANAT CRISANA S.A.,BVB  Financial Investments Funds (SIF),SIF1
SIF4.BX,SIF MUNTENIA S.A.,BVB  Financial Investments Funds (SIF),SIF4
SIF5.BX,SIF OLTENIA S.A.,BVB  Financial Investments Funds (SIF),SIF5
SIF3.BX,SIF TRANSILVANIA S.A.,BVB  Financial Investments Funds (SIF),SIF3
AAG.BX,AAGES S.A.,BVB Standard,AAG
